ELR Date,Test Result,ELR Count
3/7/21,Negative Tests,7153
3/7/21,Positive Tests,283
3/8/21,Negative Tests,12112
3/8/21,Positive Tests,487
3/9/21,Negative Tests,15321
3/9/21,Positive Tests,484
3/23/21,Negative Tests,12438
3/23/21,Positive Tests,510
3/24/21,Negative Tests,12840
3/24/21,Positive Tests,569
3/25/21,Negative Tests,19244
3/25/21,Positive Tests,781
3/26/21,Positive Tests,540
3/26/21,Negative Tests,15876
4/9/21,Negative Tests,25633
4/9/21,Positive Tests,1070
4/10/21,Negative Tests,9738
4/10/21,Positive Tests,587
4/11/21,Negative Tests,6751
4/11/21,Positive Tests,385
4/12/21,Positive Tests,791
4/12/21,Negative Tests,12932
4/25/21,Positive Tests,782
4/25/21,Negative Tests,9851
4/26/21,Negative Tests,13846
4/26/21,Positive Tests,994
4/27/21,Negative Tests,16123
4/27/21,Positive Tests,1120
4/28/21,Negative Tests,18082
4/28/21,Positive Tests,1257
4/29/21,Positive Tests,1184
4/29/21,Negative Tests,17525
12/27/20,Positive Tests,773
1/3/21,Positive Tests,934
1/3/21,Negative Tests,9136
1/12/21,Negative Tests,18966
1/12/21,Positive Tests,1473
1/14/21,Positive Tests,1756
1/14/21,Negative Tests,25251
1/19/21,Positive Tests,1130
1/19/21,Negative Tests,17412
1/21/21,Positive Tests,1421
1/21/21,Negative Tests,20966
1/23/21,Negative Tests,13150
1/23/21,Positive Tests,785
1/28/21,Negative Tests,29045
1/28/21,Positive Tests,1839
1/30/21,Positive Tests,683
1/30/21,Negative Tests,11769
2/6/21,Positive Tests,520
2/6/21,Negative Tests,12655
2/8/21,Positive Tests,818
2/8/21,Negative Tests,15632
2/13/21,Positive Tests,341
2/13/21,Negative Tests,8655
2/15/21,Negative Tests,9022
2/15/21,Positive Tests,549
2/17/21,Negative Tests,18296
2/17/21,Positive Tests,813
2/22/21,Negative Tests,13847
2/22/21,Positive Tests,661
2/24/21,Positive Tests,738
2/24/21,Negative Tests,21042
3/3/21,Positive Tests,847
3/3/21,Negative Tests,9782
3/5/21,Positive Tests,426
3/5/21,Negative Tests,8140
3/10/21,Positive Tests,606
3/10/21,Negative Tests,16782
3/12/21,Positive Tests,515
